Date,Equity,DD
09/19/2010,60395,-1880
09/20/2010,60680,-1595
09/21/2010,60680,-1595
09/22/2010,60765,-1510
09/23/2010,60730,-1545
09/24/2010,60730,-1545
09/26/2010,60730,-1545
09/27/2010,60485,-1790
09/28/2010,60450,-1825
09/29/2010,60685,-1590
09/30/2010,60620,-1655
10/01/2010,60620,-1655
10/03/2010,60765,-1510
10/04/2010,60935,-1340
10/05/2010,61300,-975
10/06/2010,62145,-130
10/07/2010,62260,-15
10/08/2010,62260,-15
10/10/2010,62260,-15
10/11/2010,62260,-15
10/12/2010,62260,-15
10/13/2010,62745,0
10/14/2010,62995,0
10/15/2010,63090,0
10/17/2010,62915,-175
10/18/2010,62375,-715
10/19/2010,62220,-870
10/20/2010,62025,-1065
10/21/2010,61600,-1490
10/22/2010,62050,-1040
10/24/2010,62735,-355
10/25/2010,63355,0
10/26/2010,63190,-165
10/27/2010,63660,0
10/28/2010,63785,0
10/29/2010,63740,-45
10/31/2010,63740,-45
11/01/2010,63740,-45
11/02/2010,63645,-140
11/03/2010,63680,-105
11/04/2010,62770,-1015
11/05/2010,62770,-1015
11/07/2010,62770,-1015
11/08/2010,62770,-1015
11/09/2010,63745,-40
11/10/2010,63740,-45
11/11/2010,62525,-1260
11/12/2010,62570,-1215
11/14/2010,62570,-1215
11/15/2010,62995,-790
11/16/2010,63405,-380
11/17/2010,64425,0
11/18/2010,65025,0
11/19/2010,66710,0
11/21/2010,66710,0
11/22/2010,66990,0
11/23/2010,66990,0
11/24/2010,66995,0
11/25/2010,67130,0
11/26/2010,67130,0
11/28/2010,67505,0
11/29/2010,67775,0
11/30/2010,66910,-865
12/01/2010,68005,0
12/02/2010,68455,0
12/03/2010,68540,0
12/05/2010,68785,0
12/06/2010,69080,0
12/07/2010,68645,-435
12/08/2010,69215,0
12/09/2010,68895,-320
12/10/2010,70490,0
12/12/2010,71055,0
12/13/2010,70650,-405
12/14/2010,71805,0
12/15/2010,71085,-720
12/16/2010,71795,-10
12/17/2010,72800,0
12/19/2010,72955,0
12/20/2010,73715,0
12/21/2010,74120,0
12/22/2010,74555,0
12/23/2010,74490,-65
12/26/2010,75505,0
12/27/2010,75670,0
12/28/2010,74575,-1095
12/29/2010,74920,-750
12/30/2010,74920,-750
12/31/2010,74920,-750
01/02/2011,74845,-825
01/03/2011,75295,-375
